NAME_1,NAME_2,NAME_3,very low,low,medium,high
Bangkok Metropolis,Bang Bon,NA,64539,1016,339,219
Bangkok Metropolis,Bang Kapi,NA,66333,690,232,180
Bangkok Metropolis,Bang Khae,NA,99927,1160,377,276
Bangkok Metropolis,Bang Khen,NA,84820,668,157,86
Bangkok Metropolis,Bang Kho Laem,NA,28741,342,102,34
Bangkok Metropolis,Bang Na,NA,46426,537,148,105
Bangkok Metropolis,Bang Plad,NA,32414,222,75,35
Bangkok Metropolis,Bang Rak,NA,10879,227,97,54
Bangkok Metropolis,Bang Su,NA,35339,313,94,50
Bangkok Metropolis,Bangkhuntien,NA,118573,1880,698,433
Bangkok Metropolis,Bangkok Noi,NA,39248,536,187,175
Bangkok Metropolis,Bangkok Yai,NA,25105,260,78,39
Bangkok Metropolis,Bung Kum,NA,59643,462,107,60
Bangkok Metropolis,Chatuchak,NA,75263,429,117,48
Bangkok Metropolis,Chom Thong,NA,65829,831,314,178
Bangkok Metropolis,Din Dang,NA,26237,180,108,42
Bangkok Metropolis,Don Muang,NA,54099,332,112,37
Bangkok Metropolis,Dusit,NA,24203,459,186,75
Bangkok Metropolis,Huai Kwang,NA,34160,330,79,63
Bangkok Metropolis,Khan Na Yao,NA,47470,380,170,82
Bangkok Metropolis,Khlong Sam Wa,NA,108153,991,295,209
Bangkok Metropolis,Khlong San,NA,22758,237,98,28
Bangkok Metropolis,Khlong Toey,NA,30601,215,70,34
Bangkok Metropolis,Lak Si,NA,40758,283,81,24
Bangkok Metropolis,Lat Krabang,NA,116086,1383,463,435
Bangkok Metropolis,Lat Phrao,NA,56795,546,123,57
Bangkok Metropolis,Min Buri,NA,83453,753,303,191
Bangkok Metropolis,Nong Chok,NA,116320,2059,828,535
Bangkok Metropolis,Nongkheam,NA,64704,739,298,185
Bangkok Metropolis,Pathum Wan,NA,13994,160,73,31
Bangkok Metropolis,Phasi Charoen,NA,53968,657,241,181
Bangkok Metropolis,Phaya Thai,NA,23844,182,83,28
Bangkok Metropolis,Phra Nakhon,NA,12905,185,80,55
